"Mon","Man"
"Tue","Tir"
"Wed","Ons"
"Thu","Tor"
"Fri","Fre"
"Sat","Lør"
"Sun","Søn"

"Monday","Mandag"
"Tuesday","Tirsdag"
"Wednesday","Onsdag"
"Thursday","Torsdag"
"Friday","Fredag"
"Saturday","Lørdag"
"Sunday","Søndag"

"January","Januar"
"Februar","Februar"
"March","Marts"
"April","April"
"May","Maj"
"June","Juni"
"Jully","Juli"
"August","August"
"September","September"
"October","Oktober"
"November","November"
"December","December"

"Your pickup time: ","Din afhentningstid: "
"Your pickup date: ","Din afhentningsdato: "
"Pickup Date/time","Afhentning dato/tid"

"Prefered day","Foretrukken dag"
"Prefered time","Foretrukken time"

"Today","I dag"
